Secteur,Ville,Boite de vitesses,Type de carburant,Marque,Modele,Nombre de portes,Origine,Premiere main,Puissance fiscale,Etat,log_price (en milliers MAD),Kilometrage lisse (en milliers km),Age (annees)
autre secteur,rabat,Manuelle,Diesel,hyundai,i20,5,WW au Maroc,True,6,Excellent,4.584967478670572,154.50426257120867,10
bournazil,casablanca,Automatique,Diesel,renault,kadjar,5,WW au Maroc,True,6,Excellent,5.241747015059643,122.69645701395406,5
administratif,tanger,Automatique,Essence,ford,mondeo,5,WW au Maroc,True,11,Excellent,4.382026634673881,71.25601393351613,14
harhoura,temara,Automatique,Diesel,kia,Others,5,WW au Maroc,True,12,Bon,4.31748811353631,375.0026121149038,15
toute la ville,guelmim,Manuelle,Diesel,volkswagen,golf 3,3,Dédouanée,True,8,Excellent,3.4965075614664802,6.6380571604223775,32
el matar,safi,Manuelle,Diesel,renault,megane,5,WW au Maroc,True,7,Très bon,4.418840607796598,226.04624280160806,16
hay salam,agadir,Manuelle,Diesel,dacia,sandero,5,WW au Maroc,False,6,Excellent,4.605170185988092,64.59331967246624,11
bettana,salé,Manuelle,Essence,peugeot,207,5,WW au Maroc,False,8,Excellent,4.007333185232471,167.60827111684017,17
tilila,agadir,Manuelle,Diesel,alfa romeo,Others,3,Dédouanée,True,5,Bon,4.31748811353631,186.1220261996882,16
branes 1,tanger,Manuelle,Diesel,peugeot,407,5,WW au Maroc,True,8,Excellent,4.04305126783455,226.8350597515662,17
ain sebaa,casablanca,Manuelle,Diesel,ford,fiesta,5,WW au Maroc,True,6,Excellent,4.6913478822291435,139.29019335234517,12
tanja balia,tanger,Manuelle,Diesel,dacia,sandero,5,WW au Maroc,True,6,Excellent,4.919980925828125,83.45074033711406,4
hay el fath,rabat,Automatique,Hybride,toyota,yaris,5,WW au Maroc,True,9,Excellent,4.700480365792417,134.73683684524863,9
autre secteur,rabat,Automatique,Hybride,hyundai,Others,5,WW au Maroc,False,11,Bon,5.783825182329737,57.18325109067758,3
autre secteur,casablanca,Manuelle,Diesel,dacia,duster,5,WW au Maroc,True,6,Bon,5.105339229565553,114.85358495308671,6
aïn borja,casablanca,Automatique,Diesel,land rover,range rover sport,5,WW au Maroc,True,12,Très bon,5.768320995793772,159.0504477680843,8
sidi bernoussi,casablanca,Automatique,Diesel,volkswagen,tiguan,5,WW au Maroc,True,8,Très bon,5.736572297479192,79.76791847187572,5
sidi bernoussi,casablanca,Automatique,Diesel,hyundai,tucson,5,WW au Maroc,True,8,Très bon,5.293304824724492,82.24095134420376,7
